3D holography,"Realität: Das Hologramm der Träume.","Karl Heinz Karius"
Absinthe,"Es gibt ebenso wenig 100-prozentige Wahrheit, wie 100-prozentigen Alkohol.","Sigmund Freud"
Absinthe present,"Es gibt ebenso wenig 100-prozentige Wahrheit, wie 100-prozentigen Alkohol.","Sigmund Freud"
Abstention,"Alles Wissen, die Gesamtheit aller Fragen und Antworten sind im Himmel enthalten.","Franz Kafka"
Abstention,"In der Esels Sprache gibt's kein Nein.","Sprichwort"
Abstention,"Nach der Fasten folgt die Ostern.","Sprichwort"
Adamantite,"Das ist ein dauerhaft Butterfass, sagte Klas, da sah er einen Mörser liegen.","Sprichwort"
Adamantite,"Vor allem haltet fest an der Liebe zueinander.","1. Petrus 4,8"
Adventurers,"Abenteuer kommen nicht zum Frühstück.","Sprichwort"
Adventurers,"Abenteuern soll man nicht in wichtigen Dingen.","Sprichwort"
Adventurers,"Man reist nicht nur um anzukommen, sondern vor allem, um unterwegs zu sein.","J. W. von Goethe"
Air,"Der Duft der Blumen ist weit süßer in der Luft als in der Hand.","Sir Francis Bacon"
Air,"Einem Adler steht die ganze Luft, dem weisen Manne die ganze Erde offen.","Sprichwort"
Air,"Im Atem holen liegt ein entferntes Hoffen. Im Atem halten finde ich eine Spur Ewigkeit.","Sepp Wejwar"
Air,"Man empfindet Gott durch die Seele, wie die Luft durch den Körper.","Joseph Joubert"
Air,"Mancher baut ein Schloß in die Luft, der keine Hütte auf den Sand bauen kann.","Sprichwort"
Air,"Was früher Luft und Liebe war, ist heute Smog und Sex.","Werner Mitsch"
Air conditioner,"Klimaanlagen erlauben es den Menschen, sich nicht nur im Winter zu erkälten.","Conrad Singer"
Airplane,"Auf ein zerrissen Dach fliegen keine Tauben.","J. Grimm"
Airplane,"Ein Flugzeug zu erfinden, ist nichts, Es zu bauen, ein Anfang. Fliegen, das ist alles.","Otto Lilienthal"
Airplane,"Im Flugzeug gibt es während starker Turbulenzen keine Atheisten.","Robert Lembke"
Airplane,"Luftpiraten sind Passagiere, die Flugzeuge erst unterwegs chartern.","Danny Kaye"
AK-47,"Die Dummen haben das Pulver nicht erfunden - aber sie schießen damit.","Gerhard Uhlenbruck"
AK-47,"Jeder weiß, was eine AK 47 ist, wenn er schon mal einen richtigen Actionfilm gesehen hat.","Quentin Tarantino"
AK-47,"Über das Ziel hinausschießen ist ebenso schlimm wie nicht ans Ziel kommen.","Konfuzius"
Alcoholic,"Am Gesicht erkennt man den Säufer.","Sprichwort"
Alcoholic,"Es hat keinen Sinn, Sorgen im Alkohol ertränken zu wollen, denn Sorgen sind gute Schwimmer.","Robert Musil"
Alcoholic,"Für Faulenzer, Säufer und Spieler gibt es keine guten Ernten.","Sprichwort"
Alien,"Ich bin zwar synthetisch aber nicht blöde.","Bishop"
Alien,"Je fremder, je besser.","Sprichwort"
Alien,"Jenseits der Wahrheit.","Akte X"
Altruism,"Selbstlosigkeit ist ausgereifter Egoismus.","Herbert Spencer"
Android,"Herzlichen Glückwunsch! Du hast eine andere Android-Version erstellt!",""
Angel,"Der höchste Engel und die Seele und die Mücke haben ein gleiches Bild in Gott.","Meister Eckhart"
Angel,"Engel erwarten für ihre Dienste keinen Dank, sie wollen nur wahrgenommen werden.","Andreas Tenzer"
