3D holography,"Yo juego en un mundo de tres dimensiones, mientras que los demás se han quedado en un medio con solo dos.","Bill Gates"
Absinthe,"¿Cuál es la diferencia entre un vaso de absenta y el ocaso?","Oscar Wilde"
Absinthe,"El hada verde que vive en la absenta quiere tu alma.","Drácula por Bram Stocker"
Absinthe present,"¿Cuál es la diferencia entre un vaso de absenta y el ocaso?","Oscar Wilde"
Absinthe present,"El hada verde que vive en la absenta quiere tu alma.","Drácula por Bram Stocker"
Abstention,"Busco espíritus sensibles. Intermediarios abstenerse.","Ernesto Esteban Echenique"
Adamantite,"O me das el diamante... o van a ocurrir cosas...","Indiana Jones"
Adamantite,"Semper Adamas (siempre duro).","Gabriele d'Annunzio."
Adamantite,"Tener firmeza de carácter es haber experimentado el efecto de los demás sobre uno mismo: luego hacen falta los demás.","Stendhal"
Adventurers,"La aventura podrá ser loca, pero el aventurero, para llevarla a cabo, ha de ser cuerdo","G.K.Chesterton"
Adventurers,"Los hombres rara vez tienen el valor suficiente para ser o extremadamente buenos o extremadamente malos.","N.Maquiavelo"
Air,"El aire que corre muda la veleta, mas no la torre.","Proverbio"
Air,"Quien siembra vientos recoge tempestades.","Proverbio"
Air,"Señora, tened en cuenta que los príncipes gobiernan todas las cosas, salvo el viento.","V.Hugo"
Air conditioner,"Prefiero la ciencia a la religión. Si me dan a escoger entre dios y el aire acondicionado, me quedo con el aire.","Woody Allen"
Airplane,"¿Por qué contentarnos con vivir a rastras cuando sentimos el anhelo de volar?","H.A.Keller"
Airplane,"Hemos aprendido a volar como los pájaros, a nadar como los peces; pero no hemos aprendido el sencillo arte de vivir como hermanos.",""
Airplane,"Hemos aprendido a volar como los pájaros, a nadar como los peces; pero no hemos aprendido el sencillo arte de vivir como hermanos.","Martin Luther King"
Airplane,"Las máquinas voladoras más pesadas que el aire son imposibles.","William Thomson Kelvin"
Airplane,"Pies, para que los quiero si tengo alas para volar.","Frida Kahlo"
AK-47,"La ametralladora escribe los puntos suspensivos de la muerte.","Ramón Gómez de la Serna"
AK-47,"No basta con tener senos, usar pantalones cortos y tener un arma en la mano para ser una verdadera heroína.","Sigourney Weaver"
AK-47,"Puedes conseguir más con una palabra amable y un arma de lo que puedes conseguir sólo con una palabra amable.","Al Capone"
AK-47,"Un pueblo libre debería no sólo estar armado sino disciplinado.","George Washington"
Alcoholic,"De hombres es equivocarse; de locos persistir en el error.","Cicerón"
Alcoholic,"Ten el valor de equivocarte.","F.Hegel"
Alien,"Estoy solo y no hay nadie en el espejo.","J.L.Borghes"
Alien,"Estoy solo y no hay nadie en el espejo.","Jorge Luis Borges"
Alien,"He sido forastera durante casi toda mi vida, condición que acepto porque no me queda alternativa.","I.Allende"
Altruism,"La mayor parte de las personas echan a perder sus vidas por un insano y exagerado altruismo.","Oscar Wilde"
Altruism,"Vivir para los demás no es solo la ley del deber, es también la ley de la felicidad.","A.Compte"
Android,"¡Enhorabuena! ¡Has creado otra versión de Android!",""
Angel,"Dios no perdonó a los ángeles que pecaron, sino que los encerró en cavernas tenebrosas","San Pedro"
Angel,"El mundo no puede estar lleno de gente como yo.","A.Burgess (La naranja mecánica)"
Angel,"Los ángelos no saben el arameo.","Rambam"
Angel,"Quien quiere celeste, que le cueste.","Proverbio"
Angel,"Quien quiere celeste, que le cueste.","Refrán"
Animal,"El león sería astuto si tomara consejo de la zorra.","W.Blake"
Animal,"Es mejor ser un escarabajo joven que una vieja ave del paraíso.","Mark Twain"
Animal,"Mi amado es semejante al corzo, o al cervatillo.","Cantar de los Cantares 2:9"
Ant,"Cuando Dios quiere perder una hormiga le hace crecer alas en el cuerpo.","Meidani"
Ant,"La hormiga debe el nombre de formica a que recoge los restos (ferre micas) del trigo.","Isidoro de Sevilla (Etimologías)"
Ant,"Las hormigas nunca duermen.","R.Emerson"
Antibiotics,"El deseo de tomar medicamentos es quizá la característica más importante que distingue al hombre de los animales.","William Osler"
Antibiotics,"La juventud es una enfermedad que se cura con los años.","G.B.Shaw"
Apple,"Nadie come naranjas bajo la luna llena.","F.G.Lorca"
Apple,"Si quieres hacer un pastel de manzana desde el principio, primero debes crear el Universo.","Carl Sagan"
Apple,"Sustentadme con pasas, confortadme con manzanas; porque estoy enferma de amor.","Cantar de los Cantares 2:5"
Aqualung,"Lo que sabemos es una gota de agua; lo que ignoramos es el océano.","Isaac Newton"
Arable,"El campo, breve y ajeno como un pañuelo.","Delia Quiñonez"
Arable,"Elogia el campo maduro, no el maíz verde.","Proverbio"
Arable,"Los locos labran el camino que los cuerdos transitan.","A.G.Quinde"
Armor,"Ares, el de fuerza suprema, conductor de carro, el de dorado casco, el de corazón valiente, portador de escudo, salvador de ciudades, de armadura de bronce.","Himno Homérico a Ares"
Armor,"La jactancia, como la armadura dorada, no es lo mismo por dentro que por fuera.","Demófilo"
Armor,"Las últimas palabras de muchos señores antiguos han sido: ""No puedes matarme porque llevo una armadura máaaargh"".","Terry Pratchett"
Armor,"Mi armadura es el desprecio.","Warhammer 40.000"
Armor,"Mi armadura es el desprecio.","Warhammer 40000"
Artificial heart,"El corazón humano es un instrumento de muchas cuerdas; el perfecto conocedor de los hombres las sabe hacer vibrar todas, como un buen músico.","Charles Dickens"
Ash,"A ojos del infinito, todo orgullo no es más que polvo y ceniza.","León Tolstói"
Ash,"En el sudor de tu rostro comerás el pan hasta que vuelvas á la tierra; porque de ella fuiste tomado: pues polvo eres, y al polvo volverás.","Génesis 3:19"
Ash,"Una sola chispa puede desencadenar un incendio furioso convirtiendo en cenizas todo sueño o esperanza.","Marco Polo"
Ash_lost,"Cenizas a las cenizas,\npolvo al polvo.","Proverbio"
Assassin,"¿Cuerpo, qué cuerpo?","Half-Life"
Assassin,"Debes perder una mosca para pescar una trucha.","George Herbert"
Assembly line,"Si le hubiera preguntado a la gente qué quería, me habrían dicho que un caballo más rápido.","Henry Ford"
Assistance,"Ayudar al que lo necesita no sólo es parte del deber, sino de la felicidad.","José Martí"
Assistance,"De una manera u otra somos partes de una sola mente que todo lo abarca, un único 'gran hombre'...","C.G.Yung"
Astral,"Creo sencillamente que alguna parte del yo o del alma humana no está sujeta a las leyes del espacio y del tiempo.","C.G.Yung"
Astral,"La belleza de las cosas existe en el espíritu de quien las contempla.","David Hume"
Astronaut,"¿Cómo sabes si la Tierra no es más que el infierno de otro planeta?","Aldous Huxley"
ATM,"El dinero es la tarjeta de crédito de los pobres.","Herbert Marshall McLuhan"
Audio cassette,"El amor es un casete que debe escucharse por las dos caras.","Anónimo"
Axe,"El árbol se ríe del hacha. Así le va.","R.Fontannarosa"
Axe,"Un libro tiene que ser un hacha que rompa el mar de hielo que llevamos dentro.","F.Kafka"
Axe_lost,"Los últimos adelantos científicos están relacionados con las crueldades de la Edad de Piedra.","Winston Churchill"
B52,"Bebo para hacer más interesantes a otras personas que no lo hacen.","Atribuido a G. Nathan"
B52,"Kahlúa, Baileys y Cointreau.","La receta"
Bacteria,"La bacteria más pequeña- es mucho más semejante al ser humano que a las mezclas químicas de Stanley Miller.","L.Margulis"
Bacteria,"La tristeza del alma puede matarte mucho más rápido que una bacteria","J. Steinbeck"
Bacteria,"La tristeza del alma puede matarte mucho más rápido que una bacteria","John Steinbeck"
Band-aid,"Las armas y las heridas deben llevarse escondidas.","Anónimo"
Bank,"Mi vida es un poco de dinero en el banco, unos trajes en el armario y un sinfín de ligues de una noche...","Como conocí a vuestra madre"
Bank,"Qué es el robo de un banco en comparación con fundar uno?","Bertolt Brecht"
Bank,"Si el clima fuera un banco, ya lo habrían salvado.","Hugo Chávez"
Bar code,"El pasado tiene sus códigos y costumbres.","Sócrates"
