3D holography,"Noi potremmo essere l'immagine olografica di una struttura a due dimensioni.","Brian Greene"
Absinthe,"Amaro come assenzio, dolce come idromele. (Vendetta)","Magic: l'adunanza"
Absinthe,"Dicono che bere assenzio col tempo fa brillare la tua ombra.","Psych, serie televisiva"
Absinthe,"E anche il terzo angelo die' fiato alla sua tromba. E dall'alto del cielo cadde una stella grande, ardente come fiaccola. La stella si chiamava Assenzio","Apocalisse"
Absinthe present,"Amaro come assenzio, dolce come idromele. (Vendetta)","Magic: l'adunanza"
Absinthe present,"Dicono che bere assenzio col tempo fa brillare la tua ombra.","Psych, serie televisiva"
Absinthe present,"E anche il terzo angelo die' fiato alla sua tromba. E dall'alto del cielo cadde una stella grande, ardente come fiaccola. La stella si chiamava Assenzio","Apocalisse"
Abstention,"Per qual motivo l'astinenza dal cibo animale sarà appunto il primo atto del digiuno[14] e della vita morale","Lev Tolstoj"
Abstention,"Tu puoi tenerti lontano dai dolori del mondo, sei libero di farlo e risponde alla tua natura, ma forse proprio questa tua astensione è l'unico dolore che potresti evitare.","F.Kafka"
Adamantite,"è la più dura sostanza che si trovi in natura, ci si taglia il vetro, invita al matrimonio ed è il migliore amico della donna come il cane lo è dell'uomo.","Agente 007"
Adamantite,"Il cielo in freddo fulgore adamantino brilla...","Giosuè Carducci"
Adamantite,"Semper adamas (sempre adamantino).","Motto"
Adventurers,"Le avventure arrivano, ma non puntuali.","Edward M. Forster"
Adventurers,"L'inizio di ogni bella e grande avventura, come è quella del Sermig, penso sia sempre segnato da una commozione alla quale si dice ""sì"".","Ernesto Olivero"
Air,"Camminate con i piedi per terra e con il cuore abitate in Cielo.","Giovanni Bosco"
Air,"La vertigine non è paura di cadere, ma voglia di volare.","Jovanotti"
Air,"Per quante spaventose armi si possano brandire, per quanti poveri robot si possano comandare, vivere separati dalla terra non è possibile!","Laputa: castello nel cielo"
Air,"Se Dio avesse voluto che l'uomo volasse, l'avrebbe fatto nascere con un biglietto.","Mel Brooks"
Air conditioner,"Sembrava che la casa pulsasse in sincronia col borbottio del condizionatore.","Steven Utley"
Airplane,"Il cielo è il pane giornaliero degli occhi.","R.Emerson"
Airplane,"Il cielo non si trova né sopra né sotto, né a destra né a sinistra; il cielo è esattamente nel centro del petto dell'uomo che ha fede!","S.Dalí"
